Element Number	Bending Stress (MPa)
5493	-0.32928
5494	-0.32479
5495	-0.33784
5496	-0.33363
5497	-0.34583
5498	-0.3419
5499	-0.35323
5500	-0.3496
5501	-0.36003
5502	-0.3567
5503	-0.36636
5504	-0.36326
5505	-0.37221
5506	-0.36936
5507	-0.37748
5508	-0.37491
5509	-0.38219
5510	-0.3799
5511	-0.38634
5512	-0.38433
5513	-0.38994
5514	-0.38821
5515	-0.39301
5516	-0.39155
5517	-0.39555
5518	-0.39435
5519	-0.39754
5520	-0.39661
5521	-0.39901
5522	-0.39834
5523	-0.39994
5524	-0.39954
5525	-0.40034
5526	-0.4002
5527	-0.4002
5528	-0.40034
5529	-0.39954
5530	-0.39994
5531	-0.39834
5532	-0.39901
5533	-0.39661
5534	-0.39754
5535	-0.39435
5536	-0.39555
5537	-0.39155
5538	-0.39301
5539	-0.38821
5540	-0.38994
5541	-0.38433
5542	-0.38634
5543	-0.37988
5544	-0.38218
5545	-0.37485
5546	-0.37744
5547	-0.36932
5548	-0.37214
5549	-0.36639
5550	-0.34962
5551	-0.35326
5552	-0.34196
5553	-0.34585
5554	-0.33377
5555	-0.33793
5556	-0.32507
5557	-0.32949
5558	-0.32051
5559	-0.3104
5560	-0.32008
5561	-0.31531
5562	-0.32922
5563	-0.32472
5564	-0.33359
5565	-0.35327
5566	-0.34963
5567	-0.36015
5568	-0.35678
5569	-0.36648
5570	-0.36339
5571	-0.37227
5572	-0.36944
5573	-0.3775
5574	-0.37495
5575	-0.38219
5576	-0.37992
5577	-0.38634
5578	-0.38433
5579	-0.38994
5580	-0.38821
5581	-0.39301
5582	-0.39155
5583	-0.39555
5584	-0.39435
5585	-0.39754
5586	-0.39661
5587	-0.39901
5588	-0.39834
5589	-0.39994
5590	-0.39954
5591	-0.40031
5592	-0.4002
5593	-0.4001
5594	-0.40028
5595	-0.3993
5596	-0.39976
5597	-0.39803
5598	-0.39872
5599	-0.39633
5600	-0.39724
5601	-0.39412
5602	-0.39529
5603	-0.39131
5604	-0.39279
5605	-0.38792
5606	-0.38968
5607	-0.38407
5608	-0.38604
5609	-0.37978
5610	-0.38199
5611	-0.37485
5612	-0.37741
5613	-0.36899
5614	-0.37211
5615	-0.36199
5616	-0.36539
5617	-0.35614
5618	-0.35911
5619	-0.349
5620	-0.35264
5621	-0.34161
5622	-0.34537
5623	-0.33347
5624	-0.33764
5625	-0.3247
5626	-0.32917
5627	-0.31039
5628	-0.32008
5629	-0.31532
5630	-0.31048
5631	-0.32016
5632	-0.31539
5633	-0.32927
5634	-0.32478
5635	-0.33782
5636	-0.33361
5637	-0.34583
5638	-0.3419
5639	-0.35327
5640	-0.34962
5641	-0.36016
5642	-0.35678
5643	-0.36649
5644	-0.36339
5645	-0.37226
5646	-0.36945
5647	-0.37749
5648	-0.37494
5649	-0.38218
5650	-0.3799
5651	-0.38632
5652	-0.38432
5653	-0.38992
5654	-0.38817
5655	-0.39307
5656	-0.39159
5657	-0.3956
5658	-0.3944
5659	-0.39757
5660	-0.39665
5661	-0.39901
5662	-0.39835
5663	-0.39995
5664	-0.39954
5665	-0.40034
5666	-0.40021
5667	-0.4002
5668	-0.40034
5669	-0.39954
5670	-0.39994
5671	-0.39834
5672	-0.39901
5673	-0.39661
5674	-0.39754
5675	-0.39555
5676	-0.38821
5677	-0.38994
5678	-0.38433
5679	-0.38634
5680	-0.37991
5681	-0.38219
5682	-0.37495
5683	-0.3775
5684	-0.36945
5685	-0.37227
5686	-0.36339
5687	-0.36649
5688	-0.35678
5689	-0.36015
5690	-0.34962
5691	-0.35327
5692	-0.3419
5693	-0.34583
5694	-0.33362
5695	-0.33783
5696	-0.32477
5697	-0.32927
5698	-0.31536
5699	-0.32014
5700	-0.31044
5701	-0.31044
5702	-0.32014
5703	-0.31536
5704	-0.32927
5705	-0.32477
5706	-0.33783
5707	-0.33362
5708	-0.34583
5709	-0.3419
5710	-0.35328
5711	-0.34962
5712	-0.36016
5713	-0.35679
5714	-0.36649
5715	-0.36339
5716	-0.37228
5717	-0.36946
5718	-0.37749
5719	-0.37495
5720	-0.38221
5721	-0.37991
5722	-0.38633
5723	-0.38434
5724	-0.38995
5725	-0.38821
5726	-0.39302
5727	-0.39155
5728	-0.39555
5729	-0.39435
5730	-0.39754
5731	-0.39661
5732	-0.39901
5733	-0.39834
5734	-0.39994
5735	-0.39954
5736	-0.40034
5737	-0.4002
5738	-0.4002
5739	-0.40034
5740	-0.39954
5741	-0.39994
5742	-0.39834
5743	-0.39901
5744	-0.39661
5745	-0.39754
5746	-0.39435
5747	-0.39555
5748	-0.39155
5749	-0.39301
5750	-0.38821
5751	-0.38994
5752	-0.38433
5753	-0.38634
5754	-0.37991
5755	-0.38219
5756	-0.37495
5757	-0.3775
5758	-0.36945
5759	-0.37227
5760	-0.36339
5761	-0.36649
5762	-0.35678
5763	-0.36016
5764	-0.34962
5765	-0.35327
5766	-0.3419
5767	-0.34583
5768	-0.33362
5769	-0.33783
5770	-0.32477
5771	-0.32927
5772	-0.32014
5773	-0.35226
5774	-0.36599
5775	-0.349
5776	-0.30534
5777	-0.30595
5778	-0.33454
5779	-0.33699
5780	-0.33836
5781	-0.38425
5782	-0.39669
5783	-0.38282
5784	-0.30537
5785	-0.30537
5786	-0.30388
5787	-0.31333
5788	-0.30868
5789	-0.32223
5790	-0.31784
5791	-0.33057
5792	-0.32647
5793	-0.33834
5794	-0.33453
5795	-0.34553
5796	-0.342
5797	-0.35217
5798	-0.34892
5799	-0.35831
5800	-0.35529
5801	-0.364
5802	-0.36123
5803	-0.36913
5804	-0.36664
5805	-0.37372
5806	-0.3715
5807	-0.37777
5808	-0.37581
5809	-0.38127
5810	-0.37958
5811	-0.38425
5812	-0.38282
5813	-0.38671
5814	-0.38554
5815	-0.38865
5816	-0.38774
5817	-0.39007
5818	-0.38943
5819	-0.39098
5820	-0.39059
5821	-0.39136
5822	-0.39124
5823	-0.39124
5824	-0.39136
5825	-0.39059
5826	-0.39098
5827	-0.38943
5828	-0.39007
5829	-0.38774
5830	-0.38865
5831	-0.38554
5832	-0.38671
5833	-0.38282
5834	-0.38425
5835	-0.37958
5836	-0.38127
5837	-0.37581
5838	-0.37776
5839	-0.3715
5840	-0.37372
5841	-0.36662
5842	-0.36912
5843	-0.36124
5844	-0.36399
5845	-0.35838
5846	-0.34205
5847	-0.34559
5848	-0.33456
5849	-0.33838
5850	-0.32657
5851	-0.33063
5852	-0.31804
5853	-0.32237
5854	-0.30896
5855	-0.31357
5856	-0.30392
5857	-0.29901
5858	-0.30386
5859	-0.29892
5860	-0.29926
5861	-0.30418
5862	-0.31328
5863	-0.30864
5864	-0.32219
5865	-0.3178
5866	-0.32645
5867	-0.3456
5868	-0.34205
5869	-0.3523
5870	-0.34902
5871	-0.35846
5872	-0.35545
5873	-0.36408
5874	-0.36133
5875	-0.36917
5876	-0.36669
5877	-0.37373
5878	-0.37152
5879	-0.37776
5880	-0.37581
5881	-0.38126
5882	-0.37958
5883	-0.38425
5884	-0.38282
5885	-0.38671
5886	-0.38554
5887	-0.38865
5888	-0.38774
5889	-0.39007
5890	-0.38943
5891	-0.39097
5892	-0.39059
5893	-0.39134
5894	-0.39123
5895	-0.39112
5896	-0.39131
5897	-0.39034
5898	-0.3908
5899	-0.3891
5900	-0.38977
5901	-0.38745
5902	-0.38834
5903	-0.3853
5904	-0.38644
5905	-0.38257
5906	-0.38401
5907	-0.37927
5908	-0.38099
5909	-0.37551
5910	-0.37744
5911	-0.37133
5912	-0.37349
5913	-0.3666
5914	-0.36904
5915	-0.36108
5916	-0.36396
5917	-0.35488
5918	-0.35796
5919	-0.34833
5920	-0.35172
5921	-0.34149
5922	-0.34493
5923	-0.33429
5924	-0.33798
5925	-0.32643
5926	-0.33042
5927	-0.31795
5928	-0.32229
5929	-0.29906
5930	-0.31341
5931	-0.30874
5932	-0.30398
5933	-0.31335
5934	-0.3087
5935	-0.32223
5936	-0.31786
5937	-0.33056
5938	-0.32646
5939	-0.33836
5940	-0.33453
5941	-0.3456
5942	-0.34205
5943	-0.3523
5944	-0.34902
5945	-0.35846
5946	-0.35544
5947	-0.36408
5948	-0.36134
5949	-0.36919
5950	-0.3667
5951	-0.37376
5952	-0.37154
5953	-0.3778
5954	-0.37585
5955	-0.38133
5956	-0.37963
5957	-0.38427
5958	-0.38288
5959	-0.38664
5960	-0.38551
5961	-0.38861
5962	-0.38768
5963	-0.39007
5964	-0.38942
5965	-0.39097
5966	-0.39058
5967	-0.39137
5968	-0.39123
5969	-0.39124
5970	-0.39137
5971	-0.39059
5972	-0.39098
5973	-0.38943
5974	-0.39007
5975	-0.38774
5976	-0.38865
5977	-0.38671
5978	-0.37958
5979	-0.38126
5980	-0.37581
5981	-0.37776
5982	-0.37151
5983	-0.37373
5984	-0.36669
5985	-0.36917
5986	-0.36133
5987	-0.36408
5988	-0.35544
5989	-0.35846
5990	-0.34901
5991	-0.3523
5992	-0.34204
5993	-0.3456
5994	-0.33453
5995	-0.33835
5996	-0.32647
5997	-0.33057
5998	-0.31785
5999	-0.32223
6000	-0.30868
6001	-0.31333
6002	-0.29895
6003	-0.30388
6004	-0.29895
6005	-0.29895
6006	-0.30388
6007	-0.31333
6008	-0.30868
6009	-0.32223
6010	-0.31785
6011	-0.33057
6012	-0.32646
6013	-0.33835
6014	-0.33453
6015	-0.3456
6016	-0.34204
6017	-0.3523
6018	-0.34902
6019	-0.35848
6020	-0.35546
6021	-0.36412
6022	-0.36136
6023	-0.36921
6024	-0.36674
6025	-0.37376
6026	-0.37156
6027	-0.37778
6028	-0.37583
6029	-0.38128
6030	-0.37959
6031	-0.38425
6032	-0.38283
6033	-0.3867
6034	-0.38554
6035	-0.38865
6036	-0.38774
6037	-0.39007
6038	-0.38943
6039	-0.39098
6040	-0.39059
6041	-0.39136
6042	-0.39124
6043	-0.39124
6044	-0.39136
6045	-0.39059
6046	-0.39098
6047	-0.38943
6048	-0.39007
6049	-0.38774
6050	-0.38865
6051	-0.38554
6052	-0.38671
6053	-0.38282
6054	-0.38425
6055	-0.37958
6056	-0.38126
6057	-0.37581
6058	-0.37776
6059	-0.37151
6060	-0.37373
6061	-0.36669
6062	-0.36917
6063	-0.36133
6064	-0.36408
6065	-0.35544
6066	-0.35846
6067	-0.34901
6068	-0.3523
6069	-0.34204
6070	-0.3456
6071	-0.33453
6072	-0.33835
6073	-0.32646
6074	-0.33057
6075	-0.31785
6076	-0.32223
6077	-0.30868
6078	-0.31333
6079	-0.29894
6080	-0.30388
6081	-0.29401
6082	-0.29421
6083	-0.29387
6084	-0.34412
6085	-0.35911
6086	-0.34095
6087	-0.32688
6088	-0.33077
6089	-0.3306
6090	-0.37515
6091	-0.38913
6092	-0.37377
6093	-0.29387
6094	-0.2925
6095	-0.28758
6096	-0.29241
6097	-0.28746
6098	-0.29226
6099	-0.28732
6100	-0.28732
6101	-0.29707
6102	-0.29226
6103	-0.30627
6104	-0.30174
6105	-0.31493
6106	-0.31066
6107	-0.32305
6108	-0.31906
6109	-0.33058
6110	-0.32688
6111	-0.33755
6112	-0.33414
6113	-0.34399
6114	-0.34083
6115	-0.34991
6116	-0.34701
6117	-0.35545
6118	-0.35273
6119	-0.36049
6120	-0.35805
6121	-0.36494
6122	-0.36278
6123	-0.36885
6124	-0.36696
6125	-0.37226
6126	-0.37062
6127	-0.37515
6128	-0.37377
6129	-0.37754
6130	-0.37641
6131	-0.37943
6132	-0.37855
6133	-0.3808
6134	-0.38018
6135	-0.38168
6136	-0.38131
6137	-0.38206
6138	-0.38193
6139	-0.38193
6140	-0.38206
6141	-0.38131
6142	-0.38168
6143	-0.38018
6144	-0.3808
6145	-0.37855
6146	-0.37943
6147	-0.37641
6148	-0.37754
6149	-0.37377
6150	-0.37516
6151	-0.37063
6152	-0.37226
6153	-0.36697
6154	-0.36886
6155	-0.3628
6156	-0.36495
6157	-0.35809
6158	-0.36051
6159	-0.35288
6160	-0.35554
6161	-0.35008
6162	-0.33418
6163	-0.33763
6164	-0.32691
6165	-0.33061
6166	-0.3191
6167	-0.32307
6168	-0.31076
6169	-0.315
6170	-0.30189
6171	-0.30639
6172	-0.29723
6173	-0.28731
6174	-0.29704
6175	-0.29225
6176	-0.30619
6177	-0.30168
6178	-0.31485
6179	-0.31058
6180	-0.319
6181	-0.33764
6182	-0.33418
6183	-0.34414
6184	-0.34095
6185	-0.35013
6186	-0.3472
6187	-0.35559
6188	-0.35292
6189	-0.36052
6190	-0.35812
6191	-0.36495
6192	-0.3628
6193	-0.36886
6194	-0.36697
6195	-0.37226
6196	-0.37062
6197	-0.37515
6198	-0.37377
6199	-0.37754
6200	-0.37641
6201	-0.37942
6202	-0.37855
6203	-0.3808
6204	-0.38018
6205	-0.38168
6206	-0.38131
6207	-0.38203
6208	-0.38192
6209	-0.38182
6210	-0.382
6211	-0.38105
6212	-0.3815
6213	-0.37985
6214	-0.3805
6215	-0.37825
6216	-0.3791
6217	-0.37617
6218	-0.37727
6219	-0.37351
6220	-0.37492
6221	-0.37029
6222	-0.37196
6223	-0.36664
6224	-0.36851
6225	-0.3626
6226	-0.36468
6227	-0.35798
6228	-0.36038
6229	-0.35274
6230	-0.35545
6231	-0.34674
6232	-0.3498
6233	-0.34043
6234	-0.3436
6235	-0.33384
6236	-0.33718
6237	-0.32674
6238	-0.33038
6239	-0.31911
6240	-0.323
6241	-0.31084
6242	-0.31504
6243	-0.30197
6244	-0.30649
6245	-0.2973
6246	-0.2874
6247	-0.2971
6248	-0.29232
6249	-0.30627
6250	-0.30175
6251	-0.3149
6252	-0.31065
6253	-0.32302
6254	-0.31903
6255	-0.33059
6256	-0.32687
6257	-0.33763
6258	-0.33418
6259	-0.34414
6260	-0.34095
6261	-0.35012
6262	-0.3472
6263	-0.35558
6264	-0.35291
6265	-0.36048
6266	-0.3581
6267	-0.36491
6268	-0.36275
6269	-0.36886
6270	-0.36694
6271	-0.37229
6272	-0.37065
6273	-0.37519
6274	-0.37381
6275	-0.37755
6276	-0.37643
6277	-0.37941
6278	-0.37855
6279	-0.3808
6280	-0.38017
6281	-0.38168
6282	-0.3813
6283	-0.38206
6284	-0.38194
6285	-0.38193
6286	-0.38206
6287	-0.38131
6288	-0.38168
6289	-0.38018
6290	-0.3808
6291	-0.37855
6292	-0.37942
6293	-0.37754
6294	-0.37062
6295	-0.37226
6296	-0.36697
6297	-0.36886
6298	-0.3628
6299	-0.36495
6300	-0.35812
6301	-0.36052
6302	-0.35292
6303	-0.35558
6304	-0.3472
6305	-0.35012
6306	-0.34095
6307	-0.34414
6308	-0.33418
6309	-0.33763
6310	-0.32688
6311	-0.33059
6312	-0.31904
6313	-0.32302
6314	-0.31066
6315	-0.31491
6316	-0.30174
6317	-0.30626
6318	-0.29227
6319	-0.29707
6320	-0.28732
6321	-0.28732
6322	-0.29707
6323	-0.29227
6324	-0.30626
6325	-0.30174
6326	-0.31491
6327	-0.31066
6328	-0.32302
6329	-0.31904
6330	-0.3306
6331	-0.32688
6332	-0.33762
6333	-0.33418
6334	-0.34412
6335	-0.34093
6336	-0.3501
6337	-0.34717
6338	-0.35559
6339	-0.35291
6340	-0.36056
6341	-0.35813
6342	-0.36495
6343	-0.36283
6344	-0.36887
6345	-0.36697
6346	-0.37227
6347	-0.37064
6348	-0.37516
6349	-0.37377
6350	-0.37754
6351	-0.37641
6352	-0.37943
6353	-0.37855
6354	-0.3808
6355	-0.38018
6356	-0.38168
6357	-0.38131
6358	-0.38206
6359	-0.38193
6360	-0.38193
6361	-0.38206
6362	-0.38131
6363	-0.38168
6364	-0.38018
6365	-0.3808
6366	-0.37855
6367	-0.37943
6368	-0.37641
6369	-0.37754
6370	-0.37377
6371	-0.37516
6372	-0.37062
6373	-0.37226
6374	-0.36697
6375	-0.36886
6376	-0.3628
6377	-0.36495
6378	-0.35812
6379	-0.36052
6380	-0.35292
6381	-0.35558
6382	-0.3472
6383	-0.35012
6384	-0.34095
6385	-0.34414
6386	-0.33418
6387	-0.33763
6388	-0.32688
6389	-0.33059
6390	-0.31904
6391	-0.32302
6392	-0.31066
6393	-0.31491
6394	-0.30173
6395	-0.30626
6396	-0.29707
6397	-0.33569
6398	-0.35206
6399	-0.3326
6400	-0.28254
6401	-0.28239
6402	-0.31891
6403	-0.3244
6404	-0.32253
6405	-0.36573
6406	-0.3814
6407	-0.36439
6408	-0.28224
6409	-0.28224
6410	-0.28052
6411	-0.28999
6412	-0.28532
6413	-0.29892
6414	-0.29452
6415	-0.30731
6416	-0.30318
6417	-0.31518
6418	-0.3113
6419	-0.32251
6420	-0.31892
6421	-0.32927
6422	-0.32597
6423	-0.33547
6424	-0.33243
6425	-0.34127
6426	-0.33841
6427	-0.34665
6428	-0.34402
6429	-0.35152
6430	-0.34916
6431	-0.35583
6432	-0.35375
6433	-0.35963
6434	-0.35779
6435	-0.36293
6436	-0.36134
6437	-0.36573
6438	-0.36439
6439	-0.36804
6440	-0.36695
6441	-0.36986
6442	-0.36901
6443	-0.3712
6444	-0.37059
6445	-0.37205
6446	-0.37168
6447	-0.37241
6448	-0.37229
6449	-0.37229
6450	-0.37241
6451	-0.37168
6452	-0.37205
6453	-0.37059
6454	-0.3712
6455	-0.36901
6456	-0.36986
6457	-0.36695
6458	-0.36804
6459	-0.36439
6460	-0.36573
6461	-0.36134
6462	-0.36293
6463	-0.3578
6464	-0.35964
6465	-0.35377
6466	-0.35585
6467	-0.34922
6468	-0.35156
6469	-0.34419
6470	-0.34676
6471	-0.34149
6472	-0.32603
6473	-0.32938
6474	-0.31895
6475	-0.32255
6476	-0.31135
6477	-0.31521
6478	-0.30324
6479	-0.30736
6480	-0.29459
6481	-0.29898
6482	-0.2854
6483	-0.29006
6484	-0.28059
6485	-0.27565
6486	-0.28051
6487	-0.27559
6488	-0.27565
6489	-0.28059
6490	-0.28994
6491	-0.2853
6492	-0.29881
6493	-0.29444
6494	-0.30721
6495	-0.30306
6496	-0.31124
6497	-0.32937
6498	-0.32602
6499	-0.33569
6500	-0.3326
6501	-0.34149
6502	-0.33865
6503	-0.34678
6504	-0.3442
6505	-0.35156
6506	-0.34923
6507	-0.35585
6508	-0.35377
6509	-0.35963
6510	-0.3578
6511	-0.36293
6512	-0.36134
6513	-0.36573
6514	-0.36439
6515	-0.36804
6516	-0.36695
6517	-0.36986
6518	-0.36901
6519	-0.3712
6520	-0.37059
6521	-0.37204
6522	-0.37168
6523	-0.37238
6524	-0.37228
6525	-0.37217
6526	-0.37235
6527	-0.37142
6528	-0.37186
6529	-0.37025
6530	-0.37088
6531	-0.36871
6532	-0.36953
6533	-0.36669
6534	-0.36777
6535	-0.36412
6536	-0.36548
6537	-0.36099
6538	-0.36262
6539	-0.35747
6540	-0.35927
6541	-0.35356
6542	-0.35557
6543	-0.34911
6544	-0.35142
6545	-0.34403
6546	-0.34662
6547	-0.33849
6548	-0.34145
6549	-0.33209
6550	-0.33523
6551	-0.32575
6552	-0.32898
6553	-0.31879
6554	-0.32233
6555	-0.31138
6556	-0.31516
6557	-0.3034
6558	-0.30747
6559	-0.29478
6560	-0.29917
6561	-0.28555
6562	-0.29023
6563	-0.27581
6564	-0.28073
6565	-0.29001
6566	-0.28537
6567	-0.29892
6568	-0.29453
6569	-0.30732
6570	-0.30319
6571	-0.31519
6572	-0.31132
6573	-0.32254
6574	-0.31893
6575	-0.32937
6576	-0.32602
6577	-0.33568
6578	-0.33259
6579	-0.34148
6580	-0.33864
6581	-0.34677
6582	-0.34419
6583	-0.35156
6584	-0.34922
6585	-0.35585
6586	-0.35377
6587	-0.35966
6588	-0.35782
6589	-0.36296
6590	-0.36138
6591	-0.36579
6592	-0.36442
6593	-0.36813
6594	-0.36702
6595	-0.36992
6596	-0.3691
6597	-0.37121
6598	-0.37062
6599	-0.37205
6600	-0.37169
6601	-0.37241
6602	-0.37229
6603	-0.37229
6604	-0.37241
6605	-0.37169
6606	-0.37205
6607	-0.37059
6608	-0.3712
6609	-0.36901
6610	-0.36986
6611	-0.36804
6612	-0.36134
6613	-0.36292
6614	-0.3578
6615	-0.35963
6616	-0.35376
6617	-0.35584
6618	-0.34923
6619	-0.35156
6620	-0.34419
6621	-0.34677
6622	-0.33864
6623	-0.34148
6624	-0.33259
6625	-0.33568
6626	-0.32602
6627	-0.32937
6628	-0.31893
6629	-0.32254
6630	-0.31132
6631	-0.31519
6632	-0.30319
6633	-0.30732
6634	-0.29453
6635	-0.29892
6636	-0.28533
6637	-0.28999
6638	-0.27558
6639	-0.28052
6640	-0.27559
6641	-0.27559
6642	-0.28052
6643	-0.28999
6644	-0.28533
6645	-0.29892
6646	-0.29453
6647	-0.30732
6648	-0.30319
6649	-0.31519
6650	-0.31132
6651	-0.32254
6652	-0.31893
6653	-0.32936
6654	-0.32601
6655	-0.33567
6656	-0.33258
6657	-0.34149
6658	-0.33864
6659	-0.34678
6660	-0.3442
6661	-0.35156
6662	-0.34925
6663	-0.35593
6664	-0.35379
6665	-0.3597
6666	-0.35789
6667	-0.36296
6668	-0.36138
6669	-0.36575
6670	-0.36442
6671	-0.36805
6672	-0.36696
6673	-0.36986
6674	-0.36902
6675	-0.3712
6676	-0.37059
6677	-0.37205
6678	-0.37168
6679	-0.37241
6680	-0.37229
6681	-0.37229
6682	-0.37241
6683	-0.37168
6684	-0.37205
6685	-0.37059
6686	-0.3712
6687	-0.36901
6688	-0.36986
6689	-0.36695
6690	-0.36804
6691	-0.36439
6692	-0.36573
6693	-0.36134
6694	-0.36293
6695	-0.3578
6696	-0.35963
6697	-0.35376
6698	-0.35584
6699	-0.34923
6700	-0.35156
6701	-0.34419
6702	-0.34677
6703	-0.33864
6704	-0.34148
6705	-0.33259
6706	-0.33568
6707	-0.32602
6708	-0.32937
6709	-0.31893
6710	-0.32254
6711	-0.31132
6712	-0.31519
6713	-0.30319
6714	-0.30732
6715	-0.29452
6716	-0.29892
6717	-0.28532
6718	-0.28999
6719	-0.27557
6720	-0.28051
6721	-0.27079
6722	-0.27058
6723	-0.27049
6724	-0.32694
6725	-0.34482
6726	-0.32394
6727	-0.31064
6728	-0.3179
6729	-0.31416
6730	-0.35596
6731	-0.37347
6732	-0.35466
6733	-0.27051
6734	-0.26868
6735	-0.26372
6736	-0.26869
6737	-0.26376
6738	-0.26863
6739	-0.26369
6740	-0.26373
6741	-0.27346
6742	-0.26866
6743	-0.28265
6744	-0.27812
6745	-0.29131
6746	-0.28704
6747	-0.29945
6748	-0.29544
6749	-0.30707
6750	-0.30333
6751	-0.31414
6752	-0.31067
6753	-0.32069
6754	-0.31749
6755	-0.3267
6756	-0.32376
6757	-0.33232
6758	-0.32955
6759	-0.33754
6760	-0.335
6761	-0.34222
6762	-0.33995
6763	-0.3464
6764	-0.34437
6765	-0.35006
6766	-0.34829
6767	-0.35325
6768	-0.35172
6769	-0.35596
6770	-0.35466
6771	-0.35819
6772	-0.35713
6773	-0.35995
6774	-0.35913
6775	-0.36124
6776	-0.36066
6777	-0.36206
6778	-0.36171
6779	-0.36242
6780	-0.3623
6781	-0.3623
6782	-0.36242
6783	-0.36171
6784	-0.36206
6785	-0.36066
6786	-0.36124
6787	-0.35913
6788	-0.35995
6789	-0.35714
6790	-0.35819
6791	-0.35467
6792	-0.35596
6793	-0.35172
6794	-0.35325
6795	-0.3483
6796	-0.35007
6797	-0.3444
6798	-0.34641
6799	-0.34001
6800	-0.34226
6801	-0.33515
6802	-0.33764
6803	-0.33254
6804	-0.31757
6805	-0.32081
6806	-0.3107
6807	-0.3142
6808	-0.30334
6809	-0.30708
6810	-0.29547
6811	-0.29947
6812	-0.28707
6813	-0.29134
6814	-0.27815
6815	-0.28267
6816	-0.27349
6817	-0.26374
6818	-0.27345
6819	-0.26867
6820	-0.28258
6821	-0.27809
6822	-0.29117
6823	-0.28693
6824	-0.29928
6825	-0.29528
6826	-0.30319
6827	-0.32079
6828	-0.31755
6829	-0.32691
6830	-0.32392
6831	-0.33253
6832	-0.32978
6833	-0.33764
6834	-0.33515
6835	-0.34226
6836	-0.34001
6837	-0.34641
6838	-0.3444
6839	-0.35007
6840	-0.3483
6841	-0.35325
6842	-0.35172
6843	-0.35596
6844	-0.35467
6845	-0.35819
6846	-0.35714
6847	-0.35995
6848	-0.35913
6849	-0.36124
6850	-0.36066
6851	-0.36206
6852	-0.36171
6853	-0.36239
6854	-0.36229
6855	-0.36218
6856	-0.36235
6857	-0.36144
6858	-0.36187
6859	-0.3603
6860	-0.36091
6861	-0.35881
6862	-0.35961
6863	-0.35687
6864	-0.3579
6865	-0.35438
6866	-0.3557
6867	-0.35137
6868	-0.35294
6869	-0.34798
6870	-0.34971
6871	-0.34423
6872	-0.34615
6873	-0.33987
6874	-0.34215
6875	-0.33477
6876	-0.33746
6877	-0.32898
6878	-0.3318
6879	-0.32332
6880	-0.32633
6881	-0.31694
6882	-0.3201
6883	-0.31051
6884	-0.31376
6885	-0.30338
6886	-0.30705
6887	-0.29563
6888	-0.29958
6889	-0.28725
6890	-0.29151
6891	-0.27825
6892	-0.28282
6893	-0.27354
6894	-0.26388
6895	-0.27356
6896	-0.2688
6897	-0.28267
6898	-0.27816
6899	-0.2913
6900	-0.28704
6901	-0.29944
6902	-0.29544
6903	-0.30707
6904	-0.30332
6905	-0.31419
6906	-0.31069
6907	-0.32079
6908	-0.31755
6909	-0.3269
6910	-0.32391
6911	-0.33252
6912	-0.32977
6913	-0.33766
6914	-0.33515
6915	-0.34233
6916	-0.34005
6917	-0.34645
6918	-0.34446
6919	-0.35009
6920	-0.34833
6921	-0.35328
6922	-0.35173
6923	-0.35599
6924	-0.3547
6925	-0.35826
6926	-0.3572
6927	-0.36
6928	-0.35918
6929	-0.36127
6930	-0.36069
6931	-0.36207
6932	-0.36173
6933	-0.36242
6934	-0.3623
6935	-0.3623
6936	-0.36242
6937	-0.36171
6938	-0.36206
6939	-0.36066
6940	-0.36124
6941	-0.35913
6942	-0.35995
6943	-0.35819
6944	-0.35172
6945	-0.35325
6946	-0.3483
6947	-0.35007
6948	-0.34439
6949	-0.34641
6950	-0.34001
6951	-0.34226
6952	-0.33514
6953	-0.33763
6954	-0.32977
6955	-0.33251
6956	-0.32391
6957	-0.3269
6958	-0.31755
6959	-0.3208
6960	-0.31069
6961	-0.31419
6962	-0.30332
6963	-0.30707
6964	-0.29544
6965	-0.29945
6966	-0.28704
6967	-0.29131
6968	-0.27812
6969	-0.28265
6970	-0.26867
6971	-0.27346
6972	-0.26375
6973	-0.26374
6974	-0.27346
6975	-0.26867
6976	-0.28265
6977	-0.27812
6978	-0.29131
6979	-0.28704
6980	-0.29945
6981	-0.29544
6982	-0.30707
6983	-0.30332
6984	-0.31419
6985	-0.31069
6986	-0.32081
6987	-0.31755
6988	-0.32694
6989	-0.32394
6990	-0.33254
6991	-0.32981
6992	-0.33767
6993	-0.33516
6994	-0.34234
6995	-0.34006
6996	-0.34644
6997	-0.34447
6998	-0.3501
6999	-0.34832
7000	-0.35327
7001	-0.35175
7002	-0.35596
7003	-0.35467
7004	-0.35819
7005	-0.35713
7006	-0.35995
7007	-0.35913
7008	-0.36124
7009	-0.36066
7010	-0.36206
7011	-0.36171
7012	-0.36242
7013	-0.3623
7014	-0.3623
7015	-0.36242
7016	-0.36171
7017	-0.36206
7018	-0.36066
7019	-0.36124
7020	-0.35913
7021	-0.35995
7022	-0.35714
7023	-0.35819
7024	-0.35467
7025	-0.35596
7026	-0.35172
7027	-0.35325
7028	-0.3483
7029	-0.35007
7030	-0.3444
7031	-0.34641
7032	-0.34001
7033	-0.34226
7034	-0.33514
7035	-0.33763
7036	-0.32977
7037	-0.33251
7038	-0.32391
7039	-0.3269
7040	-0.31755
7041	-0.3208
7042	-0.31069
7043	-0.31419
7044	-0.30332
7045	-0.30707
7046	-0.29544
