Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
191	-1000.	870.	0.	0.
192	-1000.	880.	0.	0.
193	-1000.	890.	0.	0.
194	-1000.	900.	0.	0.
195	-1000.	910.	0.	0.
196	-1000.	920.	0.	0.
197	-1000.	930.	0.	0.
198	-1000.	940.	0.	0.
199	-1000.	950.	0.	0.
200	-1000.	960.	0.	0.
201	-1000.	970.	0.	0.
202	-1000.	980.	0.	0.
203	-1000.	990.	0.	0.
204	-990.	-1000.	0.	0.
205	-980.	-1000.	0.	0.
206	-970.	-1000.	0.	0.
207	-960.	-1000.	0.	0.
208	-950.	-1000.	0.	0.
209	-940.	-1000.	0.	0.
210	-930.	-1000.	0.	0.
211	-920.	-1000.	0.	0.
212	-910.	-1000.	0.	0.
213	-900.	-1000.	0.	0.
214	-890.	-1000.	0.	0.
215	-880.	-1000.	0.	0.
216	-870.	-1000.	0.	0.
217	-860.	-1000.	0.	0.
218	-850.	-1000.	0.	0.
219	-840.	-1000.	0.	0.
220	-830.	-1000.	0.	0.
221	-820.	-1000.	0.	0.
222	-810.	-1000.	0.	0.
223	-800.	-1000.	0.	0.
224	-790.	-1000.	0.	0.
225	-780.	-1000.	0.	0.
226	-770.	-1000.	0.	0.
227	-760.	-1000.	0.	0.
228	-750.	-1000.	0.	0.
229	-740.	-1000.	0.	0.
230	-730.	-1000.	0.	0.
231	-720.	-1000.	0.	0.
232	-710.	-1000.	0.	0.
233	-700.	-1000.	0.	0.
234	-690.	-1000.	0.	0.
235	-680.	-1000.	0.	0.
236	-670.	-1000.	0.	0.
237	-660.	-1000.	0.	0.
238	-650.	-1000.	0.	0.
239	-640.	-1000.	0.	0.
240	-630.	-1000.	0.	0.
241	-620.	-1000.	0.	0.
242	-610.	-1000.	0.	0.
243	-600.	-1000.	0.	0.
244	-590.	-1000.	0.	0.
245	-580.	-1000.	0.	0.
246	-570.	-1000.	0.	0.
247	-560.	-1000.	0.	0.
248	-550.	-1000.	0.	0.
249	-540.	-1000.	0.	0.
250	-530.	-1000.	0.	0.
251	-520.	-1000.	0.	0.
252	-510.	-1000.	0.	0.
253	-500.	-1000.	0.	0.
254	-490.	-1000.	0.	0.
255	-480.	-1000.	0.	0.
256	-470.	-1000.	0.	0.
257	-460.	-1000.	0.	0.
258	-450.	-1000.	0.	0.
259	-440.	-1000.	0.	0.
260	-430.	-1000.	0.	0.
261	-420.	-1000.	0.	0.
262	-410.	-1000.	0.	0.
263	-400.	-1000.	0.	0.
264	-390.	-1000.	0.	0.
265	-380.	-1000.	0.	0.
266	-370.	-1000.	0.	0.
267	-360.	-1000.	0.	0.
268	-350.	-1000.	0.	0.
269	-340.	-1000.	0.	0.
270	-330.	-1000.	0.	0.
271	-320.	-1000.	0.	0.
272	-310.	-1000.	0.	0.
273	-300.	-1000.	0.	0.
274	-290.	-1000.	0.	0.
275	-280.	-1000.	0.	0.
276	-270.	-1000.	0.	0.
277	-260.	-1000.	0.	0.
278	-250.	-1000.	0.	0.
279	-240.	-1000.	0.	0.
280	-230.	-1000.	0.	0.
281	-220.	-1000.	0.	0.
282	-210.	-1000.	0.	0.
283	-200.	-1000.	0.	0.
284	-190.	-1000.	0.	0.
285	-180.	-1000.	0.	0.
286	-170.	-1000.	0.	0.
287	-160.	-1000.	0.	0.
288	-150.	-1000.	0.	0.
289	-140.	-1000.	0.	0.
290	-130.	-1000.	0.	0.
291	-120.	-1000.	0.	0.
292	-110.	-1000.	0.	0.
293	-100.	-1000.	0.	0.
294	-90.	-1000.	0.	0.
295	-80.	-1000.	0.	0.
296	-70.	-1000.	0.	0.
297	-60.	-1000.	0.	0.
298	-50.	-1000.	0.	0.
299	-40.	-1000.	0.	0.
300	-30.	-1000.	0.	0.
301	-20.	-1000.	0.	0.
302	-10.	-1000.	0.	0.
303	6.6613e-013	-1000.	0.	0.
304	10.	-1000.	0.	0.
305	20.	-1000.	0.	0.
306	30.	-1000.	0.	0.
307	40.	-1000.	0.	0.
308	50.	-1000.	0.	0.
309	60.	-1000.	0.	0.
310	70.	-1000.	0.	0.
311	80.	-1000.	0.	0.
312	90.	-1000.	0.	0.
313	100.	-1000.	0.	0.
314	110.	-1000.	0.	0.
315	120.	-1000.	0.	0.
316	130.	-1000.	0.	0.
317	140.	-1000.	0.	0.
318	150.	-1000.	0.	0.
319	160.	-1000.	0.	0.
320	170.	-1000.	0.	0.
321	180.	-1000.	0.	0.
322	190.	-1000.	0.	0.
323	200.	-1000.	0.	0.
324	210.	-1000.	0.	0.
325	220.	-1000.	0.	0.
326	230.	-1000.	0.	0.
327	240.	-1000.	0.	0.
328	250.	-1000.	0.	0.
329	260.	-1000.	0.	0.
330	270.	-1000.	0.	0.
331	280.	-1000.	0.	0.
332	290.	-1000.	0.	0.
333	300.	-1000.	0.	0.
334	310.	-1000.	0.	0.
335	320.	-1000.	0.	0.
336	330.	-1000.	0.	0.
337	340.	-1000.	0.	0.
338	350.	-1000.	0.	0.
339	360.	-1000.	0.	0.
340	370.	-1000.	0.	0.
341	380.	-1000.	0.	0.
342	390.	-1000.	0.	0.
343	400.	-1000.	0.	0.
344	410.	-1000.	0.	0.
345	420.	-1000.	0.	0.
346	430.	-1000.	0.	0.
347	440.	-1000.	0.	0.
348	450.	-1000.	0.	0.
349	460.	-1000.	0.	0.
