Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
25	-1000.	-790.	0.	-4.0229e-008
25	-1000.	-790.	0.	4.0229e-008
26	-1000.	-780.	0.	-4.1012e-008
26	-1000.	-780.	0.	4.1012e-008
27	-1000.	-770.	0.	-4.1708e-008
27	-1000.	-770.	0.	4.1708e-008
28	-1000.	-760.	0.	-4.2316e-008
28	-1000.	-760.	0.	4.2316e-008
29	-1000.	-750.	0.	-4.2827e-008
29	-1000.	-750.	0.	4.2827e-008
30	-1000.	-740.	0.	-4.325e-008
30	-1000.	-740.	0.	4.325e-008
31	-1000.	-730.	0.	-4.3593e-008
31	-1000.	-730.	0.	4.3593e-008
32	-1000.	-720.	0.	-4.3858e-008
32	-1000.	-720.	0.	4.3858e-008
33	-1000.	-710.	0.	-4.4055e-008
33	-1000.	-710.	0.	4.4055e-008
34	-1000.	-700.	0.	-4.4187e-008
34	-1000.	-700.	0.	4.4187e-008
35	-1000.	-690.	0.	-4.4259e-008
35	-1000.	-690.	0.	4.4259e-008
36	-1000.	-680.	0.	-4.4275e-008
36	-1000.	-680.	0.	4.4275e-008
37	-1000.	-670.	0.	-4.4238e-008
37	-1000.	-670.	0.	4.4238e-008
38	-1000.	-660.	0.	-4.4153e-008
38	-1000.	-660.	0.	4.4153e-008
39	-1000.	-650.	0.	-4.4021e-008
39	-1000.	-650.	0.	4.4021e-008
40	-1000.	-640.	0.	-4.3846e-008
40	-1000.	-640.	0.	4.3846e-008
41	-1000.	-630.	0.	-4.363e-008
41	-1000.	-630.	0.	4.363e-008
42	-1000.	-620.	0.	-4.3376e-008
42	-1000.	-620.	0.	4.3376e-008
43	-1000.	-610.	0.	-4.3086e-008
43	-1000.	-610.	0.	4.3086e-008
44	-1000.	-600.	0.	-4.2762e-008
44	-1000.	-600.	0.	4.2762e-008
45	-1000.	-590.	0.	-4.2406e-008
45	-1000.	-590.	0.	4.2406e-008
46	-1000.	-580.	0.	-4.202e-008
46	-1000.	-580.	0.	4.202e-008
47	-1000.	-570.	0.	-4.1606e-008
47	-1000.	-570.	0.	4.1606e-008
48	-1000.	-560.	0.	-4.1166e-008
48	-1000.	-560.	0.	4.1166e-008
49	-1000.	-550.	0.	-4.07e-008
49	-1000.	-550.	0.	4.07e-008
50	-1000.	-540.	0.	-4.0211e-008
50	-1000.	-540.	0.	4.0211e-008
51	-1000.	-530.	0.	-3.97e-008
51	-1000.	-530.	0.	3.97e-008
52	-1000.	-520.	0.	-3.9169e-008
52	-1000.	-520.	0.	3.9169e-008
53	-1000.	-510.	0.	-3.8618e-008
53	-1000.	-510.	0.	3.8618e-008
54	-1000.	-500.	0.	-3.8049e-008
54	-1000.	-500.	0.	3.8049e-008
55	-1000.	-490.	0.	-3.7462e-008
55	-1000.	-490.	0.	3.7462e-008
56	-1000.	-480.	0.	-3.686e-008
56	-1000.	-480.	0.	3.686e-008
57	-1000.	-470.	0.	-3.6242e-008
57	-1000.	-470.	0.	3.6242e-008
58	-1000.	-460.	0.	-3.5611e-008
58	-1000.	-460.	0.	3.5611e-008
59	-1000.	-450.	0.	-3.4965e-008
59	-1000.	-450.	0.	3.4965e-008
60	-1000.	-440.	0.	-3.4308e-008
60	-1000.	-440.	0.	3.4308e-008
61	-1000.	-430.	0.	-3.3638e-008
61	-1000.	-430.	0.	3.3638e-008
62	-1000.	-420.	0.	-3.2958e-008
62	-1000.	-420.	0.	3.2958e-008
63	-1000.	-410.	0.	-3.2268e-008
63	-1000.	-410.	0.	3.2268e-008
64	-1000.	-400.	0.	-3.1567e-008
64	-1000.	-400.	0.	3.1567e-008
65	-1000.	-390.	0.	-3.0858e-008
65	-1000.	-390.	0.	3.0858e-008
66	-1000.	-380.	0.	-3.014e-008
66	-1000.	-380.	0.	3.014e-008
67	-1000.	-370.	0.	-2.9415e-008
67	-1000.	-370.	0.	2.9415e-008
68	-1000.	-360.	0.	-2.8682e-008
68	-1000.	-360.	0.	2.8682e-008
69	-1000.	-350.	0.	-2.7942e-008
69	-1000.	-350.	0.	2.7942e-008
70	-1000.	-340.	0.	-2.7196e-008
70	-1000.	-340.	0.	2.7196e-008
71	-1000.	-330.	0.	-2.6444e-008
71	-1000.	-330.	0.	2.6444e-008
72	-1000.	-320.	0.	-2.5686e-008
72	-1000.	-320.	0.	2.5686e-008
73	-1000.	-310.	0.	-2.4923e-008
73	-1000.	-310.	0.	2.4923e-008
74	-1000.	-300.	0.	-2.4155e-008
74	-1000.	-300.	0.	2.4155e-008
75	-1000.	-290.	0.	-2.3383e-008
75	-1000.	-290.	0.	2.3383e-008
76	-1000.	-280.	0.	-2.2606e-008
76	-1000.	-280.	0.	2.2606e-008
77	-1000.	-270.	0.	-2.1826e-008
77	-1000.	-270.	0.	2.1826e-008
78	-1000.	-260.	0.	-2.1042e-008
78	-1000.	-260.	0.	2.1042e-008
79	-1000.	-250.	0.	-2.0254e-008
79	-1000.	-250.	0.	2.0254e-008
80	-1000.	-240.	0.	-1.9464e-008
80	-1000.	-240.	0.	1.9464e-008
81	-1000.	-230.	0.	-1.8671e-008
81	-1000.	-230.	0.	1.8671e-008
82	-1000.	-220.	0.	-1.7875e-008
82	-1000.	-220.	0.	1.7875e-008
83	-1000.	-210.	0.	-1.7076e-008
